# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\gamem_000\HELEN\atlas_linux_ghrd\soc_system\soc_system.csv
# Generated on: Sat Feb 02 10:51:42 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CONVST,Output,PIN_U9,3A,B3A_N0,PIN_U9,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCK,Output,PIN_V10,3A,B3A_N0,PIN_V10,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDI,Output,PIN_AC4,3A,B3A_N0,PIN_AC4,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDO,Input,PIN_AD4,3A,B3A_N0,PIN_AD4,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[15],Bidir,PIN_AG11,4A,B4A_N0,PIN_AG11,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[14],Bidir,PIN_AH9,4A,B4A_N0,PIN_AH9,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[13],Bidir,PIN_AH12,4A,B4A_N0,PIN_AH12,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[12],Bidir,PIN_AH11,4A,B4A_N0,PIN_AH11,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[11],Bidir,PIN_AG16,4A,B4A_N0,PIN_AG16,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[10],Bidir,PIN_AF15,4A,B4A_N0,PIN_AF15,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[9],Bidir,PIN_AE15,4A,B4A_N0,PIN_AE15,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[8],Bidir,PIN_AF17,4A,B4A_N0,PIN_AF17,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[7],Bidir,PIN_AH8,4A,B4A_N0,PIN_AH8,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[6],Bidir,PIN_AG8,4A,B4A_N0,PIN_AG8,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[5],Bidir,PIN_U13,4A,B4A_N0,PIN_U13,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[4],Bidir,PIN_U14,4A,B4A_N0,PIN_U14,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[3],Bidir,PIN_AG9,4A,B4A_N0,PIN_AG9,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[2],Bidir,PIN_AG10,4A,B4A_N0,PIN_AG10,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[1],Bidir,PIN_AF13,4A,B4A_N0,PIN_AF13,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[0],Bidir,PIN_AG13,4A,B4A_N0,PIN_AG13,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_RESET_N,Bidir,PIN_AH7,4A,B4A_N0,PIN_AH7,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK1_50,Input,PIN_V11,3B,B3B_N0,PIN_V11,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK2_50,Input,PIN_Y13,4A,B4A_N0,PIN_Y13,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK3_50,Input,PIN_E11,8A,B8A_N0,PIN_E11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Bidir,PIN_AE12,3B,B3B_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Bidir,PIN_AF11,3B,B3B_N0,PIN_AF11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Bidir,PIN_AE11,3B,B3B_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Bidir,PIN_AD12,3B,B3B_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Bidir,PIN_AF10,3B,B3B_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Bidir,PIN_AD11,3B,B3B_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Bidir,PIN_AE9,3B,B3B_N0,PIN_AE9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Bidir,PIN_AD10,3B,B3B_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Bidir,PIN_AE8,3B,B3B_N0,PIN_AE8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Bidir,PIN_AF9,3B,B3B_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Bidir,PIN_AF6,3B,B3B_N0,PIN_AF6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Bidir,PIN_AE7,3B,B3B_N0,PIN_AE7,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Bidir,PIN_T11,3B,B3B_N0,PIN_T11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Bidir,PIN_T13,3B,B3B_N0,PIN_T13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Bidir,PIN_AE4,3B,B3B_N0,PIN_AE4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Bidir,PIN_AF5,3B,B3B_N0,PIN_AF5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Bidir,PIN_AG6,3B,B3B_N0,PIN_AG6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Bidir,PIN_AF4,3B,B3B_N0,PIN_AF4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Bidir,PIN_AH2,3B,B3B_N0,PIN_AH2,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Bidir,PIN_AH3,3B,B3B_N0,PIN_AH3,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Bidir,PIN_AG5,3B,B3B_N0,PIN_AG5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Bidir,PIN_AH4,3B,B3B_N0,PIN_AH4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Bidir,PIN_AH6,3B,B3B_N0,PIN_AH6,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Bidir,PIN_AH5,3B,B3B_N0,PIN_AH5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Bidir,PIN_T12,3B,B3B_N0,PIN_T12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Bidir,PIN_T8,3A,B3A_N0,PIN_T8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Bidir,PIN_U11,3B,B3B_N0,PIN_U11,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Bidir,PIN_Y5,3A,B3A_N0,PIN_Y5,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Bidir,PIN_Y4,3A,B3A_N0,PIN_Y4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Bidir,PIN_W8,3A,B3A_N0,PIN_W8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Bidir,PIN_AB4,3A,B3A_N0,PIN_AB4,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Bidir,PIN_Y8,3A,B3A_N0,PIN_Y8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Bidir,PIN_AF8,3B,B3B_N0,PIN_AF8,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Bidir,PIN_W12,3B,B3B_N0,PIN_W12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Bidir,PIN_AF7,3B,B3B_N0,PIN_AF7,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Bidir,PIN_V12,3B,B3B_N0,PIN_V12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Bidir,PIN_AC22,4A,B4A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Bidir,PIN_AA18,4A,B4A_N0,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Bidir,PIN_AE23,4A,B4A_N0,PIN_AE23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Bidir,PIN_AD23,4A,B4A_N0,PIN_AD23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Bidir,PIN_AH18,4A,B4A_N0,PIN_AH18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Bidir,PIN_AG21,4A,B4A_N0,PIN_AG21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Bidir,PIN_AH21,4A,B4A_N0,PIN_AH21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Bidir,PIN_AH19,4A,B4A_N0,PIN_AH19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Bidir,PIN_AH22,4A,B4A_N0,PIN_AH22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Bidir,PIN_AF22,4A,B4A_N0,PIN_AF22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Bidir,PIN_AD20,4A,B4A_N0,PIN_AD20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Bidir,PIN_AE24,4A,B4A_N0,PIN_AE24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Bidir,PIN_AE20,4A,B4A_N0,PIN_AE20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Bidir,PIN_AD19,4A,B4A_N0,PIN_AD19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Bidir,PIN_AF18,4A,B4A_N0,PIN_AF18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Bidir,PIN_AE19,4A,B4A_N0,PIN_AE19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Bidir,PIN_AG23,4A,B4A_N0,PIN_AG23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Bidir,PIN_AH23,4A,B4A_N0,PIN_AH23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Bidir,PIN_AF25,4A,B4A_N0,PIN_AF25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Bidir,PIN_AG24,4A,B4A_N0,PIN_AG24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Bidir,PIN_AA19,4A,B4A_N0,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Bidir,PIN_AH26,4A,B4A_N0,PIN_AH26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Bidir,PIN_AG18,4A,B4A_N0,PIN_AG18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Bidir,PIN_AC23,4A,B4A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Bidir,PIN_AF20,4A,B4A_N0,PIN_AF20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Bidir,PIN_AG19,4A,B4A_N0,PIN_AG19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Bidir,PIN_AG20,4A,B4A_N0,PIN_AG20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Bidir,PIN_AF21,4A,B4A_N0,PIN_AF21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Bidir,PIN_AE22,4A,B4A_N0,PIN_AE22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Bidir,PIN_AF23,4A,B4A_N0,PIN_AF23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Bidir,PIN_AH24,4A,B4A_N0,PIN_AH24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Bidir,PIN_AG26,4A,B4A_N0,PIN_AG26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Bidir,PIN_AH27,4A,B4A_N0,PIN_AH27,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Bidir,PIN_AA15,4A,B4A_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Bidir,PIN_AG28,4A,B4A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Bidir,PIN_Y15,4A,B4A_N0,PIN_Y15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_CONV_USB_N,Bidir,,,,PIN_C6,3.3-V LVTTL,,,,,,,,,,,,,
HPS_DDR3_ADDR[14],Output,,,,PIN_G23,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[13],Output,,,,PIN_C24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
